okato,mrot,all_count,all_number_of_respondents,all_number_of_sources,all_salary,young_count,young_number_of_respondents,young_number_of_sources,young_salary,medium_count,medium_number_of_respondents,medium_number_of_sources,medium_salary,old_count,old_number_of_respondents,old_number_of_sources,old_salary,gndr
14,19242,826968,716890,793686,298112,122680,107147,112494,49,415283,354958,384191,260516,289005,254785,297001,37547,0
15,19242,633920,569310,691599,216185,88482,82472,92777,27,316284,279259,332118,189970,229154,207579,266704,26188,0
17,19242,736484,672074,735715,289813,97422,92218,95875,44,360166,323119,343538,245697,278896,256737,296302,44072,0
20,19242,1242632,1175586,1278322,502493,162469,157964,164833,97,634961,594103,633835,435620,445202,423519,479654,66776,0
24,19242,512504,467361,534604,188618,69566,65003,69248,16,246591,219321,238966,163621,196347,183037,226390,24981,0
29,19242,562758,517663,579259,228705,85621,82243,87307,50,282890,254973,276622,190790,194247,180447,215330,37865,0
34,19242,317148,266314,299596,98088,50054,45502,47197,7,149033,119386,131116,83363,118061,101426,121283,14718,0
38,19242,591548,506983,573619,193441,85114,74593,79595,14,290687,242078,267163,165953,215747,190312,226861,27474,0
42,19242,619674,557035,659248,229418,93740,81231,89541,21,308719,275453,312332,201634,217215,200351,257375,27763,0
46,22515,4471972,3887194,4183679,2042655,575059,528142,536349,519,2554770,2185266,2293944,1729590,1342143,1173786,1353386,312546,0
54,19242,389131,354945,414868,140074,51806,49908,54552,9,193687,171419,196417,120052,143638,133618,163899,20013,0
61,19242,603932,487132,553765,190401,80081,69818,74712,17,294178,232255,256330,162384,229673,185059,222723,28000,0
66,19242,485766,423483,510741,176036,61841,57072,63813,11,240115,202847,225851,147047,183810,163564,221077,28978,0
68,19242,530168,485776,544043,185260,67164,62714,66880,18,258257,229930,248777,161359,204747,193132,228386,23883,0
28,19242,669897,576507,633819,231357,86686,78238,81719,26,325394,272855,290964,196034,257817,225414,261136,35297,0
70,19242,823111,744960,862018,326629,99415,96146,102264,50,405536,363575,410001,271718,318160,285239,349753,54861,0
78,19242,666733,554217,617911,224887,99373,88632,91392,13,323287,260816,282655,189686,244073,204769,243864,35188,0
45,29389,6967370,5085486,5484917,2591092,848797,686087,698288,1468,3889175,2813540,2970946,2149743,2229398,1585859,1815683,439881,0
86,19242,294125,261392,313591,97717,44782,39939,41699,14,140434,121871,141867,83698,108909,99582,130025,14005,0
87,19242,396300,311117,375431,126448,68095,55650,58517,21,202205,152812,179748,108426,126000,102655,137166,18001,0
11,19242,548104,474027,561210,173122,89211,82648,86079,24,266032,221394,255169,149622,192861,169985,219962,23476,0
19,19242,618728,501690,569959,185058,101230,92017,95584,22,303395,233359,258165,162257,214103,176314,216210,22779,0
27,20145,542616,451728,489056,179712,81140,76073,77890,19,285543,228768,242380,152892,175933,146887,168786,26801,0
41,20129,1060542,893821,976988,422952,134864,126887,129101,60,569362,458496,486195,350749,356316,308438,361692,72143,0
47,42332,352795,306308,369619,135057,59200,53028,55288,10,183982,155764,180338,113737,109613,97516,133993,21310,0
49,19242,321692,268567,300087,102168,47287,40695,41873,10,151134,121296,131445,86097,123271,106576,126769,16061,0
58,19242,327000,312395,349523,126377,45101,42851,44759,27,157147,148143,160886,106669,124752,121401,143878,19681,0
40,27847,3076185,2487452,2742019,1262611,379560,346084,351930,388,1663922,1331361,1417149,1020810,1032703,810007,972940,241413,0
79,19242,264138,234989,255873,86087,47035,42818,45472,18,138032,118659,126437,74560,79071,73512,83964,11509,0
85,19242,138419,133291,156175,46482,27761,27456,32039,4,70219,67137,74815,38852,40439,38698,49321,7626,0
35,19242,1038676,936859,1002542,320918,161700,158288,162207,58,514734,451129,477022,277411,362242,327442,363313,43449,0
3,19242,3086352,2914183,3099278,1270103,455745,446511,459281,451,1679267,1561272,1638111,1114127,951340,906400,1001886,155525,0
12,19242,509606,433437,472301,165776,90321,83297,85813,44,270870,220994,239108,143424,148415,129146,147380,22308,0
18,19242,1330383,1069966,1138560,460200,162947,147362,152076,187,724387,568953,597711,402086,443049,353651,388773,57927,0
60,22440,2243594,2056391,2230101,851101,309388,302673,314826,210,1184908,1057415,1127075,738142,749298,696303,788200,112749,0
67,19242,286998,203236,219036,82547,37046,32331,32682,29,163335,106734,113009,70141,86617,64171,73345,12377,0
82,19242,1612155,1450565,1514363,338572,409919,404365,419328,265,938123,803293,834895,297253,264113,242907,260140,41054,0
26,19242,255980,234723,240376,57114,61161,59830,60645,200,164608,148174,151571,51834,30211,26719,28160,5080,0
83,19242,475138,468146,498527,152257,94521,94312,101289,90,264584,258986,271640,131515,116033,114848,125598,20652,0
91,19242,248613,238738,254717,82801,47933,47269,50061,21,135764,128915,136481,71688,64916,62554,68175,11092,0
